,seq_len,n_units,learning rate,MASE,SMAPE
0,30,60,0.0005,{'mase': 202.45323315366454},{'smape': 0.23852546901101693}
1,30,60,0.001,{'mase': 290.9458044724411},{'smape': 0.36216561655973745}
2,30,60,0.005,{'mase': 170.76510824019857},{'smape': 0.20593924066702543}
3,30,120,0.0005,{'mase': 221.13728937699966},{'smape': 0.2662468950762966}
4,30,120,0.001,{'mase': 257.1805907961019},{'smape': 0.27777005169371405}
5,30,120,0.005,{'mase': 209.78689117822452},{'smape': 0.24937799557000664}
6,30,180,0.0005,{'mase': 143.7418892318934},{'smape': 0.16834883580871116}
7,30,180,0.001,{'mase': 179.88793721219332},{'smape': 0.2093569604490089}
8,30,180,0.005,{'mase': 193.3634213386024},{'smape': 0.2266756368514886}
9,60,60,0.0005,{'mase': 250.00172983313422},{'smape': 0.31639241209862623}
10,60,60,0.001,{'mase': 291.27465101936644},{'smape': 0.3062787121198848}
11,60,60,0.005,{'mase': 167.37981438287866},{'smape': 0.20379742734009432}
12,60,120,0.0005,{'mase': 158.79872268470987},{'smape': 0.1895701823712123}
13,60,120,0.001,{'mase': 143.30260052398714},{'smape': 0.16742950136989254}
14,60,120,0.005,{'mase': 295.1020637129334},{'smape': 0.309247605675032}
15,60,180,0.0005,{'mase': 190.93590328899373},{'smape': 0.21892147698211625}
16,60,180,0.001,{'mase': 178.70445292272},{'smape': 0.21547992706369123}
17,60,180,0.005,{'mase': 235.33305431873185},{'smape': 0.28362952956038057}
18,90,60,0.0005,{'mase': 193.96421759021968},{'smape': 0.25087251725889714}
19,90,60,0.001,{'mase': 220.01585564304978},{'smape': 0.2603503544105086}
20,90,60,0.005,{'mase': 146.5706916595161},{'smape': 0.18392470328644034}
21,90,120,0.0005,{'mase': 209.61020618005037},{'smape': 0.28713780542190287}
22,90,120,0.001,{'mase': 186.94483732676946},{'smape': 0.24438741449375195}
23,90,120,0.005,{'mase': 375.365592478771},{'smape': 0.3847839891690767}
24,90,180,0.0005,{'mase': 273.6764206603108},{'smape': 0.3715466154320522}
25,90,180,0.001,{'mase': 206.04093379504766},{'smape': 0.2633728925524386}
26,90,180,0.005,{'mase': 231.07617669243083},{'smape': 0.29485594269952853}
